strategy,query_id,question,target_article,retrieved_articles,hit_at_1,hit_at_3,mrr,precision_at_1,precision_at_3,recall_at_1,recall_at_3,retrieval_ms,ttft_ms,total_gen_ms,e2e_ms,citation_accuracy,answer
BM25 (Structural),q01,На какие основные категории подразделяется земельный фонд Республики Казахстан?,1,1;94;100;12;138,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,0.8282000053441152,0.0,0.0,0.8282000053441152,1,
BM25 (Structural),q02,Кто осуществляет отнесение земель к категориям и перевод их из одной категории в другую?,2,2;13;124;138;160,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,0.8137000113492832,0.0,0.0,0.8137000113492832,1,
BM25 (Structural),q03,Кому принадлежит право собственности на землю в Республике Казахстан?,3,3;20;152;67;40,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,0.48570000217296183,0.0,0.0,0.48570000217296183,1,
BM25 (Structural),q04,Что является объектом земельных отношений по Земельному кодексу РК?,6,62;28;14;159;149,0,0,0.0,0.0,0.0,0.0,0.0,0.5356000037863851,0.0,0.0,0.5356000037863851,0,
BM25 (Structural),q05,Кто признается субъектами земельных отношений в Республике Казахстан?,7,6;152;12;5;20,0,0,0.0,0.0,0.0,0.0,0.0,0.36610000825021416,0.0,0.0,0.36610000825021416,0,
BM25 (Structural),q06,Какова компетенция Правительства Республики Казахстан в области регулирования земельных отношений?,10,13;15;14;6;14-1,0,0,0.0,0.0,0.0,0.0,0.0,0.4535000043688342,0.0,0.0,0.4535000043688342,0,
BM25 (Structural),q07,Каковы полномочия центрального уполномоченного органа по земельным ресурсам?,11,146;147;14;12;171,0,0,0.0,0.0,0.0,0.0,0.0,0.4047999973408878,0.0,0.0,0.4047999973408878,0,
BM25 (Structural),q08,"Каковы функции уполномоченного органа в сфере геодезии, картографии и пространственных данных?",14-1,65;44-1;49-1;44-2;147,0,0,0.0,0.0,0.0,0.0,0.0,0.751599989598617,0.0,0.0,0.751599989598617,0,
BM25 (Structural),q09,Могут ли иностранцы и иностранные юридические лица обладать земельными участками сельскохозяйственного назначения?,24,24;6;30;20;12,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,0.7831999973859638,0.0,0.0,0.7831999973859638,1,
BM25 (Structural),q10,Кому предоставляется право постоянного землепользования в Республике Казахстан?,26,78;63;34;3;35,0,0,0.0,0.0,0.0,0.0,0.0,0.564800007850863,0.0,0.0,0.564800007850863,0,
BM25 (Structural),q11,В каком порядке осуществляется приобретение прав на государственные земельные участки на торгах (аукционах)?,48,48;94;43;50;12,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,0.8150999929057434,0.0,0.0,0.8150999929057434,1,
BM25 (Structural),q12,В каких случаях допускается принудительное отчуждение земельного участка для государственных нужд?,84,84;85;88;123;52,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,0.7283000013558194,0.0,0.0,0.7283000013558194,1,
BM25 (Structural),q13,Что относится к землям сельскохозяйственного назначения и каков состав сельскохозяйственных угодий?,97,105;98;97;106;103,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.7073000015225261,0.0,0.0,0.7073000015225261,0,
BM25 (Structural),q14,"Что признается землями населенных пунктов (городов, поселков и сельских населенных пунктов)?",107,1;163;108;109;102,0,0,0.0,0.0,0.0,0.0,0.0,0.6642000080319121,0.0,0.0,0.6642000080319121,0,
BM25 (Structural),q15,Предоставляются ли земельные участки в частную собственность в пределах пограничной полосы государственной границы?,24,23;26;24;115;114,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.8079999970505014,0.0,0.0,0.8079999970505014,0,
Dense (Structural),q01,На какие основные категории подразделяется земельный фонд Республики Казахстан?,1,1;128;12;152;130,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,25.726899999426678,0.0,0.0,25.726899999426678,1,
Dense (Structural),q02,Кто осуществляет отнесение земель к категориям и перевод их из одной категории в другую?,2,2;130;124;136-1;171,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,23.915400000987574,0.0,0.0,23.915400000987574,1,
Dense (Structural),q03,Кому принадлежит право собственности на землю в Республике Казахстан?,3,3;20;21;22;53,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,21.505299999262206,0.0,0.0,21.505299999262206,1,
Dense (Structural),q04,Что является объектом земельных отношений по Земельному кодексу РК?,6,53;156;6;3;60,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,20.288100000470877,0.0,0.0,20.288100000470877,0,
Dense (Structural),q05,Кто признается субъектами земельных отношений в Республике Казахстан?,7,20;3;1;53;6,0,0,0.0,0.0,0.0,0.0,0.0,19.839800006593578,0.0,0.0,19.839800006593578,0,
Dense (Structural),q06,Какова компетенция Правительства Республики Казахстан в области регулирования земельных отношений?,10,13;15;144;5;14,0,0,0.0,0.0,0.0,0.0,0.0,21.94380000582896,0.0,0.0,21.94380000582896,0,
Dense (Structural),q07,Каковы полномочия центрального уполномоченного органа по земельным ресурсам?,11,147;161;14;18;15,0,0,0.0,0.0,0.0,0.0,0.0,20.236800002749078,0.0,0.0,20.236800002749078,0,
Dense (Structural),q08,"Каковы функции уполномоченного органа в сфере геодезии, картографии и пространственных данных?",14-1,161;157;156;147;14-1,0,0,0.2,0.0,0.0,0.0,0.0,20.416900006239302,0.0,0.0,20.416900006239302,0,
Dense (Structural),q09,Могут ли иностранцы и иностранные юридические лица обладать земельными участками сельскохозяйственного назначения?,24,24;23;97;38;34,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,21.181400006753393,0.0,0.0,21.181400006753393,1,
